COMANDA     AWB DE PRINTAT  buc in colet  status
EST244100   81349573465                5  FULFILLED
EST244418   81349558843                3  FULFILLED
EST244420   81349575425                3  FULFILLED
EST244442   81349575473                3  FULFILLED
EST244466   81349576976                3  FULFILLED
EST244475   81349578369                3  FULFILLED
EST244492   81349625578                3  FULFILLED
EST244499   81349577285                6  FULFILLED
EST244504   81349577325                3  FULFILLED
EST244505   81349578947                3  FULFILLED
EST244508   81349579051                3  FULFILLED
EST244519   81349624481                3  FULFILLED
EST244532   81349626551                3  FULFILLED
EST244535   81349627655                3  FULFILLED
EST244555   81349628704                3  FULFILLED
EST244566   81349629500                3  FULFILLED
EST244569   81349630391                3  FULFILLED
EST244573   81349631507                9  FULFILLED
EST244583   81349632600                9  FULFILLED
EST244591   81349633289                3  FULFILLED
EST244602   81349633987                6  FULFILLED
EST244662   81349634847                3  FULFILLED
EST244684   81349636775                4  FULFILLED
EST244706   81349637373                6  FULFILLED
EST244722   81349659512                3  FULFILLED
EST244752   81349579203                3  FULFILLED
EST244762   81349579328                3  FULFILLED
EST244771   81349579550                3  FULFILLED
EST244773   81349579787                3  FULFILLED
EST244791   81349580008                3  FULFILLED
EST244830   81349580264                6  FULFILLED
EST244833   81349580433                6  FULFILLED
EST244873   81349603281                6  FULFILLED
EST244877   81349639513                3  FULFILLED
EST244899   81349640325                6  FULFILLED
EST244922   81349641075                3  FULFILLED
EST244926   81349642140                9  FULFILLED
EST244950   81349642912                3  FULFILLED
EST244956   81349644035                3  FULFILLED
GT57320     81349644884                9  FULFILLED
GT57376     81349645808                3  FULFILLED
GT57393     81349646905                3  FULFILLED
GT57395     81349647889                3  FULFILLED
GT57399     81349648720                3  FULFILLED
GT57404     81349649390                3  FULFILLED
GT57415     81349650666                3  FULFILLED
GT57425     81349651727                3  FULFILLED
GT57441     81349652720                3  FULFILLED
GT57452     81349654898                3  FULFILLED
GT57464     81349657023                3  FULFILLED
GT57472     81349657703                3  FULFILLED
GT57484     81349658458                3  FULFILLED

TOTAL 52 comenzi — fiecare are +1 parfum surpriza fata de ce s-a impachetat initial.
